"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.633823681E0,-8.958435059E0,2.257080078E1,4.933624268E1
9.733616161E0,-8.787536621E0,2.301635742E1,4.770202637E1
9.783573436E0,-1.223602295E1,2.454376221E1,4.830627441E1
9.883915233E0,-9.211730957E0,2.404327393E1,4.770355225E1
9.983707714E0,-9.672546387E0,2.387847900E1,4.755706787E1
1.003351240E1,-9.124755859E0,2.671661377E1,4.696655273E1
1.013348799E1,-6.007385254E0,2.444152832E1,4.844055176E1
1.023382978E1,-5.487060547E0,2.623138428E1,4.547119141E1
1.028345137E1,-6.036376953E0,2.799377441E1,4.458312988E1
1.038342695E1,-7.122802734E0,2.736968994E1,4.607086182E1
1.048340254E1,-9.480285645E0,2.507171631E1,4.696655273E1
1.053339033E1,-7.337951660E0,2.543334961E1,4.591827393E1
1.063336592E1,-8.815002441E0,2.657165527E1,4.354705811E1
1.073337202E1,-6.509399414E0,2.753753662E1,4.547576904E1
1.078335981E1,-8.581542969E0,2.910156250E1,4.370117188E1
1.088333540E1,-9.092712402E0,2.745513916E1,4.414367676E1
1.098328047E1,-8.256530762E0,2.525634766E1,4.636688232E1
1.103345137E1,-7.348632812E0,2.513732910E1,4.621582031E1
1.113327436E1,-7.423400879E0,2.735748291E1,4.458618164E1
1.123321943E1,-6.930541992E0,2.856140137E1,4.473419189E1
1.128354292E1,-8.248901367E0,3.015289307E1,4.518585205E1
1.138339643E1,-1.003112793E1,2.683410645E1,4.637451172E1
1.148318892E1,-8.876037598E0,2.494201660E1,4.711151123E1
1.153314619E1,-1.006164551E1,2.594604492E1,4.756317139E1
1.163312178E1,-9.083557129E0,2.805480957E1,4.741363525E1
1.173324995E1,-8.299255371E0,2.851715088E1,4.443969727E1
1.178308516E1,-7.954406738E0,2.986450195E1,4.518585205E1
1.188309126E1,-7.249450684E0,2.810516357E1,4.443664551E1
1.198340254E1,-7.789611816E0,2.556915283E1,4.577178955E1
1.203302412E1,-4.280090332E0,2.612762451E1,4.828948975E1
1.213299971E1,-4.115295410E0,2.657623291E1,4.799346924E1
1.223297529E1,-5.119323730E0,2.817382812E1,4.472961426E1
1.228296308E1,-6.323242188E0,2.842864990E1,4.354400635E1
1.238294880E1,-9.109497070E0,2.716064453E1,4.622344971E1
1.248292438E1,-7.469177246E0,2.602386475E1,4.607086182E1
1.253294270E1,-7.261657715E0,2.781066895E1,4.592285156E1
1.263291828E1,-6.930541992E0,2.856140137E1,4.473419189E1
1.273289387E1,-8.427429199E0,2.925567627E1,4.384765625E1
1.278303425E1,-8.276367188E0,2.911071777E1,4.295501709E1
1.288282673E1,-9.342956543E0,2.907714844E1,4.340362549E1
1.298280231E1,-7.711791992E0,2.794342041E1,4.503326416E1
1.303318684E1,-6.010437012E0,2.873687744E1,4.428710938E1
1.313294880E1,-4.512023926E0,2.803955078E1,4.353942871E1
1.323274128E1,-6.927490234E0,2.855834961E1,4.369506836E1
1.328272907E1,-5.448913574E0,2.726898193E1,4.294433594E1
1.338270466E1,-5.625915527E0,2.667541504E1,4.606628418E1
1.348286335E1,-6.988525391E0,2.677764893E1,4.443359375E1
1.353266804E1,-6.687927246E0,2.663879395E1,4.458160400E1
1.363264362E1,-5.615234375E0,2.696990967E1,4.502716064E1
1.373298542E1,-1.033477783E1,2.652282715E1,4.280700684E1
1.378260700E1,-8.482360840E0,2.762298584E1,4.503326416E1
1.388261310E1,-8.833312988E0,2.627868652E1,4.681549072E1
1.398255817E1,-6.683349609E0,2.693786621E1,4.636535645E1
1.403254597E1,-6.204223633E0,2.754669189E1,4.517669678E1
1.413252155E1,-4.499816895E0,2.848663330E1,4.428253174E1
1.423249714E1,-6.958007812E0,2.781982422E1,4.592285156E1
1.428248493E1,-5.635070801E0,2.637634277E1,4.576873779E1
