"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.151408372E1,4.158020020E-2,-9.756469727E-2,1.958465576E-1
1.156408372E1,2.181091309E-1,-3.553466797E-1,-3.871154785E-2
1.161408372E1,1.469421387E-2,6.491088867E-2,1.219329834E-1
1.166408372E1,3.060760498E-1,3.193664551E-2,1.182708740E-1
1.171408372E1,4.789581299E-1,6.886138916E-1,3.290252686E-1
1.176408372E1,-2.467498779E-1,-1.663208008E-3,-2.201385498E-1
1.181408372E1,-2.070465088E-1,-7.817382812E-1,-5.591888428E-1
1.186408372E1,-3.450927734E-1,1.290588379E-1,3.762817383E-2
1.191408372E1,-6.566314697E-1,3.208618164E-1,1.946258545E-1
1.196408372E1,2.400970459E-1,-8.135070801E-1,2.508239746E-1
1.201408372E1,1.252746582E-1,9.484863281E-2,2.660980225E-1
1.206408372E1,4.221496582E-1,-2.533416748E-1,1.494140625E-1
1.211408372E1,2.004089355E-1,-1.568298340E-1,-8.544921875E-4
1.216408372E1,-1.190185547E-3,1.064453125E-1,-2.128143311E-1
1.221408372E1,3.543395996E-1,3.905181885E-1,2.850341797E-1
1.226408372E1,-5.075836182E-1,-1.739349365E-1,-8.291931152E-1
1.231408372E1,-3.945770264E-1,1.602020264E-1,-4.791564941E-1
1.236408372E1,-4.074096680E-1,5.371246338E-1,1.335296631E-1
1.241408372E1,-4.852294922E-3,-4.136657715E-2,1.512603760E-1
1.246408372E1,3.079223633E-1,-2.484436035E-1,2.722015381E-1
1.251408372E1,3.720550537E-1,-2.313385010E-1,3.213500977E-2
1.256408372E1,3.854980469E-1,-1.470489502E-1,1.573638916E-1
1.261408372E1,2.566070557E-1,-1.696472168E-1,-2.274780273E-1
1.266408372E1,2.614898682E-1,3.599700928E-1,7.122802734E-2
1.271408372E1,1.820678711E-1,1.267715454E0,4.041595459E-1
1.276408372E1,2.813720703E-2,-1.167816162E0,-4.009704590E-1
1.281408372E1,-2.656860352E-1,-2.624969482E-1,-9.490966797E-2
1.286408372E1,-5.668487549E-1,9.818267822E-1,1.555175781E-1
1.291408372E1,-1.679534912E-1,-1.812591553E-1,2.227172852E-1
1.296408372E1,2.969207764E-1,-6.216888428E-1,2.996978760E-1
1.301408372E1,1.161041260E-1,-1.549835205E-1,1.952362061E-1
1.306408372E1,2.950897217E-1,-1.782073975E-1,-3.382873535E-2
1.311408372E1,1.081695557E-1,-2.380676270E-1,-2.421417236E-1
1.316408372E1,-2.076568604E-1,-5.480957031E-2,-3.869171143E-1
1.321408372E1,-1.038055420E-1,-9.207153320E-2,-1.022491455E-1
1.326408372E1,-4.825439453E-1,-2.453918457E-1,-1.168212891E0
1.331408372E1,-1.374053955E-1,2.610015869E-1,-2.097625732E-1
1.336408372E1,-2.485809326E-1,-3.651275635E-1,-2.005920410E-1
1.341408372E1,-3.782653809E-2,2.420654297E-1,4.043579102E-3
1.346408372E1,7.333374023E-2,-3.494262695E-3,-2.115936279E-1
1.351408372E1,2.706451416E-1,-4.873046875E-1,-6.071472168E-2
1.356408372E1,-2.534637451E-1,-8.656311035E-2,-3.166656494E-1
1.361408372E1,2.352142334E-1,2.628326416E-1,9.536743164E-3
1.366408372E1,2.523193359E-1,4.864196777E-1,3.283996582E-1
1.371408372E1,8.372497559E-2,8.327789307E-1,3.760528564E-1
1.376408372E1,-2.561950684E-2,-6.522369385E-1,-5.032348633E-2
1.381408372E1,-2.388000488E-1,-2.062988281E-1,1.542968750E-1
1.386408372E1,-4.348907471E-1,4.204406738E-1,3.058013916E-1
1.391408372E1,5.990600586E-2,-6.579589844E-2,3.152465820E-2
1.396408372E1,2.559814453E-1,-1.458282471E-1,3.565063477E-1
1.401408372E1,4.463195801E-2,-3.770446777E-2,4.129028320E-2
1.406408372E1,2.248382568E-1,-3.211517334E-1,-3.260803223E-2
1.411408372E1,-3.477478027E-2,-2.826538086E-1,-8.758544922E-2
1.416408372E1,1.713562012E-2,2.854309082E-1,2.052307129E-2
1.421408372E1,-3.854064941E-1,-4.023895264E-1,-1.071319580E-1
1.426408372E1,-3.072204590E-1,1.076660156E-1,-7.968139648E-1
1.431408372E1,-3.066101074E-1,2.933807373E-1,3.213500977E-2
1.436408372E1,8.494567871E-2,-1.782073975E-1,1.262054443E-1
1.441408372E1,2.223968506E-1,4.076232910E-1,2.208862305E-1
1.446408372E1,1.252746582E-1,-2.234039307E-1,4.069519043E-2
1.451408372E1,3.445739746E-1,-7.139434814E-1,3.030395508E-2
1.456408372E1,-2.317810059E-2,1.938171387E-1,1.060485840E-1
1.461408372E1,3.030242920E-1,1.400604248E-1,2.465515137E-1
1.466408372E1,2.950897217E-1,1.241760254E-1,1.573638916E-1
1.471408372E1,2.325439453E-2,4.583129883E-1,-8.209228516E-2
1.476408372E1,6.539916992E-2,6.085968018E-1,-5.215454102E-2
1.481408372E1,-4.568786621E-1,-4.701995850E-1,-5.398559570E-2
1.486408372E1,-4.760742188E-2,-2.386779785E-1,3.522338867E-1
