"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.181052376E1,-1.633300781E1,3.057556152E1,4.846496582E1
8.187842537E1,-1.518554688E1,2.838439941E1,4.830932617E1
8.197821785E1,-1.600036621E1,2.672882080E1,4.934844971E1
8.202805306E1,-1.539001465E1,2.689514160E1,4.949493408E1
8.206052376E1,-1.626129150E1,2.805480957E1,4.905548096E1
8.212805916E1,-1.430511475E1,2.752380371E1,4.949340820E1
8.222833992E1,-1.258087158E1,2.890777588E1,4.696655273E1
8.227799202E1,-1.253204346E1,3.039245605E1,4.637451172E1
8.231052376E1,-1.211242676E1,2.937011719E1,4.770812988E1
8.237796761E1,-1.333465576E1,2.918395996E1,4.800872803E1
8.247794319E1,-1.260375977E1,2.831726074E1,4.845123291E1
8.252793099E1,-1.214599609E1,2.833251953E1,4.815216064E1
8.256052376E1,-1.063537598E1,2.792968750E1,4.680938721E1
8.262790657E1,-9.997558594E0,2.899017334E1,4.770202637E1
8.272788216E1,-7.803344727E0,3.083801270E1,4.561920166E1
8.277790047E1,-9.187316895E0,3.049926758E1,4.740600586E1
8.281052376E1,-1.105041504E1,2.940368652E1,4.889526367E1
8.287784554E1,-1.000213623E1,2.869262695E1,4.636383057E1
8.297785164E1,-1.378936768E1,2.456970215E1,4.889373779E1
8.302796150E1,-1.066131592E1,2.718963623E1,4.799804688E1
8.306052376E1,-1.262359619E1,2.757110596E1,4.696350098E1
8.312784554E1,-9.338378906E0,2.604980469E1,5.096435547E1
8.322776009E1,-1.102905273E1,2.999572754E1,4.770660400E1
8.327808357E1,-1.212768555E1,2.862243652E1,4.443817139E1
8.331052376E1,-1.210479736E1,2.936553955E1,4.518127441E1
8.337784554E1,-1.227874756E1,2.876739502E1,4.607238770E1
8.347772957E1,-1.154174805E1,2.804870605E1,4.592285156E1
8.352771736E1,-9.866333008E0,2.825164795E1,4.725646973E1
8.356052376E1,-9.687805176E0,2.899780273E1,4.636535645E1
8.362799812E1,-1.077117920E1,2.837066650E1,4.592132568E1
8.372782112E1,-1.011352539E1,2.987365723E1,4.577484131E1
8.377762581E1,-9.786987305E0,3.062591553E1,4.606933594E1
8.381052376E1,-1.015625000E1,2.853698730E1,4.577178955E1
8.387760140E1,-1.275329590E1,2.815856934E1,4.607391357E1
8.397791267E1,-1.370391846E1,2.694091797E1,4.562530518E1
8.402756477E1,-1.279907227E1,2.682495117E1,4.726104736E1
8.406052376E1,-1.161804199E1,2.567291260E1,4.636383057E1
8.412757088E1,-1.172485352E1,2.715606689E1,4.725952148E1
8.422751595E1,-1.334381104E1,2.873382568E1,4.533233643E1
8.427750374E1,-9.262084961E0,2.812347412E1,4.740295410E1
8.431052376E1,-1.412200928E1,2.811431885E1,4.533386230E1
8.437747933E1,-1.422882080E1,2.499847412E1,4.800262451E1
8.447745491E1,-1.191864014E1,2.596282959E1,4.770050049E1
8.452750374E1,-1.179962158E1,2.477722168E1,4.680786133E1
8.456052376E1,-1.175689697E1,2.611541748E1,4.651184082E1
8.462741829E1,-1.156768799E1,2.730712891E1,4.666290283E1
8.472739388E1,-1.112060547E1,2.702331543E1,4.695739746E1
8.477753426E1,-1.211395264E1,2.447052002E1,4.651184082E1
8.481052642E1,-1.454925537E1,2.439422607E1,4.651794434E1
8.487742095E1,-1.451873779E1,2.543487549E1,4.800567627E1
8.497736602E1,-9.384155273E0,2.011566162E1,5.407714844E1
8.502765898E1,-9.864807129E0,1.920928955E1,5.259094238E1
8.506052642E1,-9.815979004E0,2.084503174E1,5.378112793E1
8.512742095E1,-6.893920898E0,2.197723389E1,5.481567383E1
8.522730498E1,-1.133575439E1,2.094573975E1,5.467681885E1
8.527732329E1,-1.008453369E1,2.187347412E1,5.259552002E1
8.531052642E1,-9.486389160E0,2.174682617E1,5.496826172E1
8.537757354E1,-9.973144531E0,2.068939209E1,5.392913818E1
8.547736602E1,-8.871459961E0,2.176208496E1,5.273895264E1
8.552723174E1,-1.064147949E1,2.364044189E1,5.467987061E1
8.556052642E1,-1.085205078E1,2.185516357E1,5.571746826E1
8.562717681E1,-1.018218994E1,2.365264893E1,5.348815918E1
8.572748809E1,-1.128540039E1,2.258148193E1,5.527191162E1
8.577714019E1,-9.751892090E0,2.292633057E1,5.482482910E1
8.581052642E1,-1.128387451E1,2.257995605E1,5.467834473E1
8.587711577E1,-1.132659912E1,2.124328613E1,5.423126221E1
8.597709136E1,-1.107788086E1,2.422027588E1,5.438385010E1
8.602710967E1,-1.086578369E1,2.600555420E1,5.319824219E1
8.606052642E1,-8.889770508E0,2.591705322E1,5.259857178E1
8.612708525E1,-6.439208984E0,2.658843994E1,5.259399414E1
8.622703032E1,-8.967590332E0,2.813873291E1,5.096893311E1
8.627701812E1,-5.500793457E0,2.720642090E1,5.066070557E1
8.631052642E1,-6.419372559E0,2.703094482E1,5.081024170E1
8.637702422E1,-4.005432129E0,2.651367188E1,5.139770508E1
8.647696929E1,-7.800292969E0,3.113861084E1,4.770050049E1
8.652710967E1,-7.504272461E0,3.085021973E1,4.769897461E1
8.656049896E1,-8.694458008E0,3.155364990E1,4.651336670E1
8.662690521E1,-6.898498535E0,3.071899414E1,4.725189209E1
8.672688080E1,-1.015472412E1,2.883911133E1,4.829711914E1
8.677720428E1,-6.599426270E0,2.643737793E1,5.422973633E1
8.681049896E1,-8.900451660E0,3.006439209E1,4.844512939E1
8.687702728E1,-9.146118164E0,2.724151611E1,5.052185059E1
8.697685028E1,-7.644653320E0,2.684631348E1,5.244750977E1
8.702680755E1,-6.391906738E0,2.807312012E1,5.259552002E1
8.706049896E1,-5.946350098E0,2.763977051E1,5.185089111E1
8.712714935E1,-8.413696289E0,3.096923828E1,4.799957275E1
8.722691131E1,-8.811950684E0,3.273773193E1,4.741058350E1
8.727677704E1,-1.085357666E1,3.059387207E1,4.651794434E1
8.731049896E1,-9.010314941E0,3.124847412E1,4.725952148E1
8.737672210E1,-8.024597168E0,2.890625000E1,4.829101562E1
8.747703338E1,-6.005859375E0,3.015289307E1,4.739837646E1
8.752668548E1,-7.653808594E0,3.069152832E1,4.532165527E1
8.756049896E1,-7.087707520E0,2.952423096E1,4.695281982E1
8.762666107E1,-8.378601074E0,3.200836182E1,4.725952148E1
8.772663666E1,-7.839965820E0,2.979888916E1,4.695434570E1
8.777662445E1,-9.243774414E0,2.871856689E1,4.740295410E1
8.781049896E1,-9.284973145E0,2.737884521E1,4.695434570E1
8.787660003E1,-1.019287109E1,2.749786377E1,4.651184082E1
8.797657562E1,-9.822082520E0,2.958831787E1,4.681091309E1
8.802659393E1,-9.068298340E0,2.931365967E1,4.606628418E1
8.806049896E1,-9.066772461E0,2.931365967E1,4.577026367E1
8.812656952E1,-7.006835938E0,2.760314941E1,5.006866455E1
8.822651458E1,-9.692382812E0,2.899932861E1,4.770202637E1
8.827665496E1,-1.047515869E1,2.838439941E1,4.889221191E1
8.831049896E1,-1.078186035E1,2.807464600E1,4.696044922E1
8.837647796E1,-1.051330566E1,2.704467773E1,4.740295410E1
8.847645355E1,-1.015167236E1,2.883758545E1,4.725799561E1
8.852680755E1,-1.012573242E1,2.957916260E1,4.681243896E1
8.856049896E1,-9.790039062E0,3.062896729E1,4.725952148E1
8.862656952E1,-1.197509766E1,2.877807617E1,4.607238770E1
8.872642303E1,-1.121520996E1,2.880249023E1,4.681243896E1
8.877638031E1,-1.075592041E1,2.896728516E1,4.740905762E1
8.881049896E1,-1.042938232E1,2.971954346E1,4.770355225E1
8.887672210E1,-1.194763184E1,2.982177734E1,4.860076904E1
8.897654510E1,-9.739685059E0,3.226318359E1,4.800415039E1
8.902631927E1,-9.994506836E0,3.358917236E1,4.578094482E1
8.906049896E1,-9.393310547E0,3.330993652E1,4.503326416E1
8.912629486E1,-7.424926758E0,3.322601318E1,4.695892334E1
8.922660614E1,-9.431457520E0,3.227233887E1,4.651794434E1
8.927631927E1,-7.302856445E0,3.233795166E1,4.680938721E1
8.931049896E1,-7.649230957E0,3.099365234E1,4.755249023E1
8.937623382E1,-7.649230957E0,3.099365234E1,4.755249023E1
8.947620941E1,-5.526733398E0,3.076171875E1,4.680175781E1
8.952622772E1,-6.291198730E0,3.073883057E1,4.754638672E1
8.956049896E1,-4.898071289E0,3.152465820E1,4.739685059E1
8.962617279E1,-6.460571289E0,3.013763428E1,4.695281982E1
8.972614837E1,-5.250549316E0,3.002929688E1,4.799041748E1
8.977613617E1,-6.452941895E0,3.058624268E1,4.888610840E1
8.981049896E1,-3.443908691E0,2.949371338E1,4.828186035E1
8.987614227E1,-4.942321777E0,3.018798828E1,4.813690186E1
8.997608734E1,-4.342651367E0,2.991027832E1,4.813385010E1
9.002625824E1,-3.715515137E0,3.037261963E1,4.679718018E1
9.006049896E1,-2.922058105E0,3.143615723E1,4.679718018E1
9.012611175E1,-3.312683105E0,3.350372314E1,4.754486084E1
9.022602630E1,-3.373718262E0,3.172302246E1,4.828491211E1
9.027638031E1,-3.886413574E0,2.992553711E1,4.813232422E1
9.031049896E1,-1.954650879E0,2.849884033E1,4.797821045E1
9.037617279E1,-1.338195801E0,2.881622314E1,4.797668457E1
9.047596527E1,-1.649475098E0,2.850952148E1,4.797821045E1
9.052595306E1,-1.631164551E0,2.910461426E1,4.797821045E1
9.056049896E1,-2.412414551E0,2.848510742E1,4.797973633E1
9.062629486E1,-3.771972656E0,2.874145508E1,4.828033447E1
9.072611786E1,-5.007934570E0,2.826080322E1,4.991760254E1
9.077589203E1,-4.777526855E0,2.588958740E1,4.887390137E1
9.081049896E1,-5.834960938E0,2.615509033E1,4.946899414E1
9.087586761E1,-7.192993164E0,2.640838623E1,4.843444824E1
9.097623993E1,-2.970886230E0,2.565612793E1,5.243530273E1
9.102583099E1,-2.497863770E0,2.611389160E1,5.154113770E1
9.106049896E1,-1.727294922E0,2.643890381E1,5.228424072E1
9.112580658E1,-4.504394531E0,2.516021729E1,5.139617920E1
9.122578216E1,-5.288696289E0,2.868957520E1,4.605560303E1
