Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.32240","4.58744","6.48000"
"0.32314","4.60723","6.50000"
"0.32399","4.62327","6.52000"
"0.32515","4.64012","6.54000"
"0.32648","4.66265","6.56000"
"0.32763","4.68985","6.58000"
"0.32841","4.71493","6.60000"
"0.32928","4.73350","6.62000"
"0.33036","4.75102","6.64000"
"0.33147","4.77124","6.66000"
"0.33245","4.79421","6.68000"
"0.33320","4.81506","6.70000"
"0.33402","4.83137","6.72000"
"0.33513","4.84795","6.74000"
"0.33649","4.86984","6.76000"
"0.33769","4.89746","6.78000"
"0.33846","4.92392","6.80000"
"0.33928","4.94286","6.82000"
"0.34034","4.95953","6.84000"
"0.34145","4.97967","6.86000"
"0.34246","5.00279","6.88000"
"0.34324","5.02444","6.90000"
"0.34401","5.04154","6.92000"
"0.34505","5.05744","6.94000"
"0.34637","5.07777","6.96000"
"0.34767","5.10449","6.98000"
"0.34854","5.13204","7.00000"
"0.34935","5.15364","7.02000"
"0.35036","5.17103","7.04000"
"0.35142","5.19007","7.06000"
"0.35246","5.21171","7.08000"
"0.35328","5.23335","7.10000"
"0.35404","5.25161","7.12000"
"0.35505","5.26806","7.14000"
"0.35633","5.28784","7.16000"
"0.35765","5.31379","7.18000"
"0.35856","5.34164","7.20000"
"0.35931","5.36331","7.22000"
"0.36029","5.38004","7.24000"
"0.36137","5.39876","7.26000"
"0.36243","5.42079","7.28000"
"0.36332","5.44321","7.30000"
"0.36407","5.46259","7.32000"
"0.36503","5.47934","7.34000"
"0.36628","5.49793","7.36000"
"0.36765","5.52334","7.38000"
"0.36865","5.55221","7.40000"
"0.36939","5.57532","7.42000"
"0.37032","5.59290","7.44000"
"0.37137","5.61109","7.46000"
"0.37243","5.63238","7.48000"
"0.37335","5.65462","7.50000"
"0.37411","5.67457","7.52000"
"0.37504","5.69153","7.54000"
"0.37627","5.71004","7.56000"
"0.37758","5.73471","7.58000"
"0.37860","5.76293","7.60000"
"0.37931","5.78622","7.62000"
"0.38018","5.80361","7.64000"
"0.38126","5.82105","7.66000"
"0.38239","5.84270","7.68000"
"0.38344","5.86698","7.70000"
"0.38423","5.88950","7.72000"
"0.38510","5.90789","7.74000"
"0.38624","5.92621","7.76000"
"0.38756","5.94941","7.78000"
"0.38867","5.97726","7.80000"
"0.38941","6.00211","7.82000"
"0.39024","6.01998","7.84000"
"0.39129","6.03662","7.86000"
"0.39239","6.05703","7.88000"
"0.39342","6.08064","7.90000"
"0.39423","6.10317","7.92000"
"0.39503","6.12138","7.94000"
"0.39611","6.13893","7.96000"
"0.39741","6.16091","7.98000"
"0.39865","6.18813","8.00000"
"0.39947","6.21476","8.02000"
"0.40027","6.23502","8.04000"
"0.40129","6.25240","8.06000"
"0.40238","6.27236","8.08000"
"0.40347","6.29527","8.10000"
"0.40431","6.31843","8.12000"
"0.40505","6.33757","8.14000"
"0.40605","6.35412","8.16000"
"0.40733","6.37426","8.18000"
"0.40864","6.40085","8.20000"
"0.40955","6.42869","8.22000"
"0.41032","6.45040","8.24000"
"0.41131","6.46808","8.26000"
"0.41239","6.48781","8.28000"
"0.41347","6.51016","8.30000"
"0.41435","6.53320","8.32000"
"0.41510","6.55277","8.34000"
"0.41605","6.56950","8.36000"
"0.41729","6.58924","8.38000"
"0.41859","6.61493","8.40000"
"0.41958","6.64308","8.42000"
"0.42035","6.66651","8.44000"
"0.42130","6.68444","8.46000"
"0.42236","6.70325","8.48000"
"0.42343","6.72487","8.50000"
"0.42437","6.74814","8.52000"
"0.42511","6.76916","8.54000"
"0.42602","6.78652","8.56000"
"0.42722","6.80534","8.58000"
"0.42858","6.83029","8.60000"
"0.42966","6.85947","8.62000"
"0.43042","6.88468","8.64000"
"0.43130","6.90319","8.66000"
"0.43234","6.92143","8.68000"
"0.43338","6.94239","8.70000"
"0.43435","6.96529","8.72000"
"0.43513","6.98640","8.74000"
"0.43599","7.00399","8.76000"
"0.43714","7.02227","8.78000"
"0.43851","7.04595","8.80000"
"0.43971","7.07522","8.82000"
"0.44049","7.10268","8.84000"
"0.44130","7.12228","8.86000"
"0.44231","7.13966","8.88000"
"0.44337","7.15959","8.90000"
"0.44438","7.18204","8.92000"
"0.44520","7.20383","8.94000"
"0.44600","7.22235","8.96000"
"0.44708","7.23976","8.98000"
"0.44843","7.26173","9.00000"
"0.44972","7.29033","9.02000"
"0.45054","7.31918","9.04000"
"0.45131","7.34035","9.06000"
"0.45230","7.35689","9.08000"
"0.45336","7.37571","9.10000"
"0.45443","7.39827","9.12000"
"0.45528","7.42138","9.14000"
"0.45604","7.44092","9.16000"
"0.45704","7.45791","9.18000"
"0.45832","7.47829","9.20000"
"0.45966","7.50530","9.22000"
"0.46059","7.53454","9.24000"
"0.46133","7.55747","9.26000"
"0.46230","7.57511","9.28000"
"0.46338","7.59418","9.30000"
"0.46446","7.61664","9.32000"
"0.46536","7.64027","9.34000"
"0.46611","7.66078","9.36000"
"0.46705","7.67778","9.38000"
"0.46826","7.69710","9.40000"
"0.46958","7.72250","9.42000"
"0.47058","7.75152","9.44000"
"0.47133","7.77557","9.46000"
"0.47225","7.79371","9.48000"
"0.47334","7.81292","9.50000"
"0.47446","7.83562","9.52000"
"0.47542","7.85984","9.54000"
"0.47615","7.88103","9.56000"
"0.47701","7.89835","9.58000"
"0.47818","7.91621","9.60000"
"0.47956","7.94082","9.62000"
"0.48069","7.97097","9.64000"
"0.48144","7.99747","9.66000"
"0.48229","8.01616","9.68000"
"0.48334","8.03373","9.70000"
"0.48442","8.05521","9.72000"
"0.48541","8.07909","9.74000"
"0.48617","8.10100","9.76000"
"0.48697","8.11858","9.78000"
"0.48807","8.13551","9.80000"
"0.48944","8.15835","9.82000"
"0.49070","8.18733","9.84000"
"0.49154","8.21579","9.86000"
"0.49236","8.23729","9.88000"
"0.49336","8.25519","9.90000"
"0.49442","8.27532","9.92000"
"0.49543","8.29764","9.94000"
"0.49622","8.31940","9.96000"
"0.49697","8.33737","9.98000"
"0.49800","8.35390","10.00000"
"0.49931","8.37484","10.02000"
"0.50066","8.40276","10.04000"
"0.50159","8.43258","10.06000"
"0.50238","8.45581","10.08000"
"0.50334","8.47418","10.10000"
"0.50436","8.49376","10.12000"
"0.50542","8.51527","10.14000"
"0.50632","8.53796","10.16000"
"0.50707","8.55828","10.18000"
"0.50803","8.57590","10.20000"
"0.50930","8.59598","10.22000"
"0.51066","8.62286","10.24000"
"0.51163","8.65287","10.26000"
"0.51236","8.67705","10.28000"
"0.51328","8.69460","10.30000"
"0.51435","8.71275","10.32000"
"0.51545","8.73531","10.34000"
"0.51640","8.75967","10.36000"
"0.51713","8.78091","10.38000"
"0.51802","8.79788","10.40000"
"0.51923","8.81645","10.42000"
"0.52060","8.84201","10.44000"
"0.52164","8.87217","10.46000"
"0.52237","8.89759","10.48000"
"0.52325","8.91540","10.50000"
"0.52433","8.93308","10.52000"
"0.52543","8.95476","10.54000"
"0.52643","8.97918","10.56000"
"0.52719","9.00152","10.58000"
"0.52804","9.01916","10.60000"
"0.52919","9.03712","10.62000"
"0.53052","9.06131","10.64000"
"0.53166","9.09042","10.66000"
"0.53242","9.11681","10.68000"
"0.53329","9.13627","10.70000"
"0.53436","9.15449","10.72000"
"0.53543","9.17597","10.74000"
"0.53640","9.19944","10.76000"
"0.53716","9.22098","10.78000"
"0.53796","9.23828","10.80000"
"0.53905","9.25549","10.82000"
"0.54038","9.27829","10.84000"
"0.54166","9.30723","10.86000"
"0.54251","9.33588","10.88000"
"0.54334","9.35746","10.90000"
"0.54437","9.37612","10.92000"
"0.54545","9.39735","10.94000"
"0.54647","9.42093","10.96000"
"0.54725","9.44292","10.98000"
"0.54801","9.46098","11.00000"
"0.54905","9.47767","11.02000"
"0.55037","9.49952","11.04000"
"0.55168","9.52806","11.06000"
"0.55254","9.55751","11.08000"
"0.55331","9.57954","11.10000"
"0.55431","9.59697","11.12000"
"0.55541","9.61729","11.14000"
"0.55644","9.64084","11.16000"
"0.55728","9.66394","11.18000"
"0.55804","9.68320","11.20000"
"0.55902","9.70010","11.22000"
"0.56030","9.72054","11.24000"
"0.56166","9.74810","11.26000"
"0.56262","9.77837","11.28000"
"0.56339","9.80247","11.30000"
"0.56434","9.82080","11.32000"
"0.56539","9.84011","11.34000"
"0.56644","9.86180","11.36000"
"0.56733","9.88485","11.38000"
"0.56810","9.90543","11.40000"
"0.56906","9.92315","11.42000"
"0.57029","9.94298","11.44000"
"0.57161","9.96895","11.46000"
"0.57263","9.99827","11.48000"
"0.57337","10.02283","11.50000"
"0.57429","10.04132","11.52000"
"0.57537","10.06010","11.54000"
"0.57642","10.08240","11.56000"
"0.57735","10.10567","11.58000"
"0.57810","10.12652","11.60000"
"0.57899","10.14425","11.62000"
"0.58019","10.16275","11.64000"
"0.58156","10.18766","11.66000"
"0.58270","10.21790","11.68000"
"0.58345","10.24472","11.70000"
"0.58431","10.26360","11.72000"
"0.58536","10.28154","11.74000"
"0.58643","10.30291","11.76000"
"0.58741","10.32645","11.78000"
"0.58818","10.34792","11.80000"
"0.58902","10.36562","11.82000"
"0.59016","10.38370","11.84000"
"0.59149","10.40756","11.86000"
"0.59266","10.43683","11.88000"
"0.59342","10.46386","11.90000"
"0.59423","10.48297","11.92000"
"0.59528","10.50053","11.94000"
"0.59636","10.52165","11.96000"
"0.59742","10.54538","11.98000"
"0.59827","10.56901","12.00000"
"0.59908","10.58867","12.02000"
"0.60014","10.60703","12.04000"
"0.60143","10.62940","12.06000"
"0.60267","10.65761","12.08000"
"0.60352","10.68584","12.10000"
"0.60431","10.70712","12.12000"
"0.60532","10.72464","12.14000"
"0.60636","10.74481","12.16000"
"0.60741","10.76740","12.18000"
"0.60827","10.79025","12.20000"
"0.60905","10.80993","12.22000"
"0.61006","10.82767","12.24000"
"0.61132","10.84903","12.26000"
"0.61264","10.87621","12.28000"
"0.61357","10.90550","12.30000"
"0.61433","10.92868","12.32000"
"0.61528","10.94647","12.34000"
"0.61634","10.96537","12.36000"
"0.61743","10.98771","12.38000"
"0.61837","11.01164","12.40000"
"0.61911","11.03267","12.42000"
"0.62003","11.05021","12.44000"
"0.62126","11.06964","12.46000"
"0.62260","11.09547","12.48000"
"0.62361","11.12504","12.50000"
"0.62434","11.14917","12.52000"
"0.62526","11.16687","12.54000"
"0.62632","11.18539","12.56000"
"0.62740","11.20734","12.58000"
"0.62837","11.23107","12.60000"
"0.62913","11.25285","12.62000"
"0.63000","11.27035","12.64000"
"0.63117","11.28877","12.66000"
"0.63252","11.31331","12.68000"
"0.63365","11.34274","12.70000"
"0.63441","11.36912","12.72000"
"0.63528","11.38807","12.74000"
"0.63632","11.40591","12.76000"
"0.63739","11.42706","12.78000"
"0.63842","11.45090","12.80000"
"0.63920","11.47363","12.82000"
"0.64003","11.49204","12.84000"
"0.64115","11.50974","12.86000"
"0.64250","11.53313","12.88000"
"0.64371","11.56234","12.90000"
"0.64450","11.59041","12.92000"
"0.64531","11.61052","12.94000"
"0.64632","11.62795","12.96000"
"0.64738","11.64808","12.98000"
"0.64839","11.67040","13.00000"
"0.64919","11.69267","13.02000"
"0.64997","11.71110","13.04000"
"0.65101","11.72823","13.06000"
"0.65235","11.75021","13.08000"
"0.65370","11.77922","13.10000"
"0.65458","11.80926","13.12000"
"0.65534","11.83171","13.14000"
"0.65631","11.84933","13.16000"
"0.65738","11.86888","13.18000"
"0.65842","11.89139","13.20000"
"0.65928","11.91434","13.22000"
"0.66004","11.93390","13.24000"
"0.66103","11.95080","13.26000"
"0.66231","11.97146","13.28000"
"0.66367","11.99901","13.30000"
"0.66461","12.02903","13.32000"
"0.66535","12.05236","13.34000"
"0.66629","12.06989","13.36000"
"0.66737","12.08834","13.38000"
"0.66845","12.11074","13.40000"
"0.66936","12.13442","13.42000"
"0.67009","12.15462","13.44000"
"0.67101","12.17141","13.46000"
"0.67225","12.19049","13.48000"
"0.67363","12.21645","13.50000"
"0.67467","12.24664","13.52000"
"0.67539","12.27177","13.54000"
"0.67629","12.28953","13.56000"
"0.67736","12.30715","13.58000"
"0.67846","12.32856","13.60000"
"0.67939","12.35215","13.62000"
"0.68013","12.37338","13.64000"
"0.68098","12.39044","13.66000"
"0.68214","12.40827","13.68000"
"0.68348","12.43217","13.70000"
"0.68463","12.46158","13.72000"
"0.68541","12.48837","13.74000"
"0.68626","12.50762","13.76000"
"0.68734","12.52556","13.78000"
"0.68846","12.54720","13.80000"
"0.68947","12.57174","13.82000"
"0.69021","12.59442","13.84000"
"0.69100","12.61194","13.86000"
"0.69211","12.62835","13.88000"
"0.69347","12.65124","13.90000"
"0.69470","12.68076","13.92000"
"0.69549","12.70889","13.94000"
"0.69627","12.72871","13.96000"
"0.69730","12.74568","13.98000"
"0.69838","12.76598","14.00000"
"0.69943","12.78923","14.02000"
"0.70024","12.81232","14.04000"
"0.70099","12.83092","14.06000"
"0.70201","12.84711","14.08000"
"0.70332","12.86761","14.10000"
"0.70466","12.89543","14.12000"
"0.70561","12.92545","14.14000"
