"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.159979739E0,-3.349914551E-1,-2.703857422E-1,8.891723633E0
7.209979739E0,-2.201385498E-1,5.072784424E-1,9.171691895E0
7.259979739E0,-1.866455078E-1,5.838470459E-1,8.858230591E0
7.309979739E0,-2.967071533E-1,1.385437012E0,8.420349121E0
7.359979739E0,-3.397827148E-1,1.505081177E0,8.571090698E0
7.409979739E0,-4.977111816E-1,1.158126831E0,1.130130005E1
7.459979739E0,-3.541412354E-1,9.930267334E-1,1.138505554E1
7.509979739E0,-6.221008301E-2,4.618072510E-1,1.254078674E1
7.559979739E0,-6.532440186E-1,3.780670166E-1,1.126062012E1
7.609979739E0,-4.187469482E-1,-1.038482666E0,1.307199097E1
7.659979739E0,-2.919311523E-1,-6.699829102E-1,9.418151855E0
7.709979739E0,1.476364136E0,2.153472900E-1,7.199996948E0
7.759979739E0,3.588867188E-2,8.805541992E-1,7.647460938E0
7.809979739E0,-8.135986328E-2,1.495513916E0,6.484542847E0
7.859979739E0,4.791259766E-3,1.500305176E0,9.209976196E0
7.909979739E0,4.570312500E-1,1.301696777E0,1.172721863E1
7.959979739E0,1.651000977E-1,1.375869751E0,1.212443542E1
8.009979739E0,3.182525635E-1,4.905242920E-1,1.367019653E1
8.059979739E0,-1.033706665E0,6.867370605E-1,1.060977173E1
8.109979739E0,-1.275375366E0,-3.780670166E-1,1.109072876E1
8.159979739E0,-1.450057983E0,-5.479583740E-1,6.953536987E0
8.209979739E0,3.732757568E-1,-4.833526611E-1,1.080598450E1
8.259979739E0,-1.316070557E-1,-3.254241943E-1,8.276779175E0
8.309979739E0,-3.086700439E-1,3.517456055E-1,8.161911011E0
8.359979739E0,-5.479583740E-1,7.154541016E-1,8.733810425E0
8.409979739E0,1.746826172E-1,1.105484009E0,1.109072876E1
8.459979739E0,-2.656097412E-1,6.532440186E-1,1.176789856E1
8.509979739E0,2.871398926E-1,9.571838379E-2,1.261975098E1
