"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.422610962E1,5.575256348E-1,1.911865234E0,1.276092529E1
1.427610962E1,-3.684997559E-1,2.538787842E0,1.086102295E1
1.432610962E1,7.872314453E-1,5.072784424E-1,1.255274963E1
1.437610962E1,-3.565368652E-1,4.067993164E-2,9.075973511E0
1.442610962E1,3.230285645E-1,-8.853149414E-2,9.975677490E0
1.447610962E1,1.172485352E-1,6.723785400E-1,7.247863770E0
1.452610962E1,1.531372070E-1,1.744369507E0,6.238082886E0
1.457610962E1,-3.924255371E-1,2.091323853E0,7.999206543E0
1.462610962E1,-4.522399902E-1,2.426315308E0,1.021734619E1
1.467610962E1,-9.571838379E-2,1.722839355E0,1.213879395E1
1.472610962E1,1.268157959E-1,1.069595337E0,1.218904114E1
1.477610962E1,-6.173553467E-1,1.794616699E0,1.066001892E1
1.482610962E1,1.476364136E0,2.416687012E-1,1.485464478E1
1.487610962E1,-3.182525635E-1,-3.397827148E-1,1.258624268E1
1.492610962E1,1.677368164E0,1.627044678E-1,9.879959106E0
1.497610962E1,1.433303833E0,8.542327881E-1,7.561325073E0
1.502610962E1,1.244201660E-1,1.313659668E0,6.417556763E0
1.507610962E1,2.608184814E-1,1.526626587E0,7.846069336E0
1.512610962E1,1.172485352E-1,1.921432495E0,9.688537598E0
1.517610962E1,-2.608184814E-1,2.447860718E0,1.080358887E1
1.522610962E1,-5.981445312E-2,2.232498169E0,1.154536438E1
1.527610962E1,-3.110656738E-1,1.670196533E0,1.351705933E1
1.532610962E1,-3.541412354E-1,2.167892456E0,1.025085449E1
1.537610962E1,-2.919311523E-1,4.019927979E-1,1.220100403E1
1.542610962E1,3.038940430E-1,-3.421783447E-1,1.116491699E1
1.547610962E1,2.033843994E-1,2.488555908E-1,9.044876099E0
1.552610962E1,1.435852051E-2,1.464401245E0,5.824127197E0
1.557610962E1,-4.498443604E-1,1.765899658E0,7.013366699E0
1.562610962E1,6.221008301E-2,2.531600952E0,8.652450562E0
1.567610962E1,-8.183441162E-1,2.802001953E0,1.037767029E1
1.572610962E1,-3.780670166E-1,2.464614868E0,1.030827332E1
1.577610962E1,-2.416687012E-1,1.828109741E0,1.212683105E1
1.582610962E1,2.153015137E-2,1.679763794E0,1.057627869E1
1.587610962E1,-4.594268799E-1,-3.828430176E-2,1.554138184E1
1.592610962E1,1.387786865E-1,3.206329346E-1,1.171525574E1
1.597610962E1,1.986038208E0,1.141372681E0,8.044662476E0
1.602610962E1,1.024124146E0,1.598403931E0,7.269393921E0
1.607610962E1,-6.077728271E-1,1.263412476E0,7.932205200E0
1.612610962E1,4.259185791E-1,2.160720825E0,7.408172607E0
1.617610962E1,2.392578125E-2,2.189437866E0,8.561523438E0
1.622610962E1,3.206329346E-1,1.799407959E0,1.093280029E1
1.627610962E1,-2.153015137E-2,2.033905029E0,1.205743408E1
1.632610962E1,2.249298096E-1,2.266006470E0,1.245225525E1
1.637610962E1,-4.307556152E-2,2.622528076E0,1.047816467E1
1.642610962E1,-6.915283203E-1,1.119842529E0,1.223689270E1
1.647610962E1,-2.273254395E-1,5.120697021E-1,7.956130981E0
1.652610962E1,-5.192413330E-1,1.770629883E-1,8.551940918E0
1.657610962E1,-7.680969238E-1,9.954071045E-1,7.869995117E0
1.662610962E1,-5.192413330E-1,1.155731201E0,8.702697754E0
1.667610962E1,3.828430176E-2,1.804183960E0,9.221939087E0
1.672610962E1,-1.004943848E-1,2.426315308E0,8.860626221E0
1.677610962E1,3.852386475E-1,2.306686401E0,1.051167297E1
1.682610962E1,5.288085938E-1,1.306488037E0,1.247138977E1
1.687610962E1,-5.575256348E-1,1.469192505E0,1.256950378E1
1.692610962E1,1.227523804E0,7.872314453E-1,1.517050171E1
1.697610962E1,-3.637084961E-1,-3.613128662E-1,1.229193115E1
1.702610962E1,1.777862549E0,3.206329346E-1,8.279159546E0
1.707610962E1,8.350982666E-1,8.063812256E-1,8.111663818E0
1.712610962E1,-1.938171387E-1,1.371093750E0,5.881561279E0
1.717610962E1,-6.699829102E-1,1.646255493E0,7.664215088E0
1.722610962E1,5.072784424E-1,2.115249634E0,9.387039185E0
1.727610962E1,-6.460571289E-2,2.124832153E0,1.084426880E1
1.732610962E1,-2.560272217E-1,2.266006470E0,1.137309265E1
1.737610962E1,3.613128662E-1,1.622329712E0,1.231106567E1
1.742610962E1,1.818542480E-1,1.928619385E0,1.056671143E1
1.747610962E1,-1.093521118E0,1.172485352E-1,1.268675232E1
1.752610962E1,-9.092712402E-2,3.995971680E-1,9.272186279E0
1.757610962E1,-1.555328369E-1,4.331054688E-1,9.944564819E0
1.762610962E1,-1.459655762E-1,1.351943970E0,7.724029541E0
1.767610962E1,-2.129669189E-1,1.713256836E0,6.771682739E0
1.772610962E1,5.407714844E-1,2.555541992E0,8.116455078E0
1.777610962E1,1.268157959E-1,2.589035034E0,9.382263184E0
1.782610962E1,-6.293182373E-1,1.844863892E0,1.156929016E1
1.787610962E1,8.159484863E-1,1.426116943E0,1.219381714E1
1.792610962E1,-2.201385498E-1,1.500305176E0,1.227517700E1
1.797610962E1,3.462417603E0,1.533798218E0,1.133718872E1
1.802610962E1,4.791259766E-3,-2.225341797E-1,1.340458679E1
1.807610962E1,4.187469482E-1,8.135528564E-1,8.640487671E0
1.812610962E1,1.722869873E-1,1.356735229E0,8.477767944E0
1.817610962E1,3.206329346E-1,2.215759277E0,5.953338623E0
1.822610962E1,-8.279113770E-1,1.837692261E0,8.355743408E0
1.827610962E1,2.057800293E-1,2.155929565E0,9.494720459E0
1.832610962E1,-3.397827148E-1,2.404785156E0,1.055474854E1
1.837610962E1,-2.033843994E-1,2.153533936E0,1.115295410E1
1.842610962E1,3.708801270E-1,2.127212524E0,1.172004700E1
