"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.526298873E0,-1.369018555E1,4.751586914E0,4.786682129E1
6.625938766E0,-1.154785156E1,5.119323730E0,4.830627441E1
6.675896041E0,-1.229553223E1,5.540466309E0,4.831085205E1
6.725883834E0,-9.715270996E0,5.320739746E0,4.666748047E1
6.776298873E0,-1.203002930E1,4.209899902E0,4.711608887E1
6.875847213E0,-1.236572266E1,3.158569336E0,4.562988281E1
6.925865524E0,-1.266021729E1,3.443908691E0,4.503631592E1
6.975822799E0,-1.206970215E1,2.870178223E0,4.562835693E1
7.026298873E0,-1.379699707E1,1.033020020E0,4.384765625E1
7.125786178E0,-1.261291504E1,4.779052734E0,4.355316162E1
7.175804489E0,-1.515045166E1,6.031799316E0,4.148101807E1
7.225761764E0,-1.634674072E1,6.585693359E0,4.059295654E1
7.276298873E0,-1.545104980E1,6.022644043E0,4.073791504E1
7.375725143E0,-1.569061279E1,3.494262695E0,4.296569824E1
7.425712936E0,-1.656951904E1,4.353332520E0,4.044342041E1
7.475731246E0,-1.034088135E1,1.068115234E-1,4.785003662E1
7.526298873E0,-1.158447266E1,-6.713867188E-1,4.844512939E1
7.625664108E0,-7.591247559E0,4.928588867E-1,4.799194336E1
7.675651901E0,-7.868957520E0,1.223754883E0,4.710083008E1
7.725639694E0,-1.035614014E1,-4.882812500E-1,4.636230469E1
7.776298873E0,-1.228332520E1,9.323120117E-1,4.473571777E1
7.875603073E0,-1.129455566E1,-1.409912109E0,4.547119141E1
7.925590865E0,-1.129150391E1,-1.411437988E0,4.472961426E1
7.975578658E0,-1.129302979E1,-1.411437988E0,4.517364502E1
8.026298873E0,-1.070404053E1,-1.835632324E0,4.680633545E1
8.125542037E0,-1.158142090E1,-6.729125977E-1,4.725646973E1
8.175529830E0,-9.397888184E0,1.025390625E0,4.666137695E1
8.225517623E0,-1.017303467E1,4.074096680E-1,4.591827393E1
8.276298873E0,-1.005249023E1,-4.776000977E-1,4.710388184E1
8.375481002E0,-1.249694824E1,-8.514404297E-1,4.681396484E1
8.425468795E0,-9.097290039E0,-3.860473633E0,4.754180908E1
8.475456588E0,-1.164245605E1,-2.755737305E0,4.546813965E1
8.526298873E0,-1.102752686E1,-2.439880371E0,4.695434570E1
8.625450485E0,-1.146545410E1,-1.856994629E0,4.710388184E1
8.675407760E0,-1.232452393E1,-1.022338867E-1,4.800109863E1
8.725395553E0,-1.238098145E1,-2.037048340E0,4.591827393E1
8.776298873E0,-1.116790771E1,-1.844787598E0,4.963073730E1
8.875358932E0,-1.257781982E1,-3.225708008E0,4.859161377E1
8.925377242E0,-1.549682617E1,-4.357910156E0,4.636840820E1
8.975334518E0,-1.416625977E1,-7.553100586E-1,4.696502686E1
9.026298873E0,-1.544647217E1,-2.723693848E0,4.756011963E1
9.125297897E0,-1.358489990E1,-1.628112793E0,4.681396484E1
9.175316207E0,-1.419372559E1,-1.495361328E0,4.844970703E1
9.225273483E0,-1.334838867E1,1.202392578E0,4.875030518E1
9.276298873E0,-1.631622314E1,-1.264953613E0,4.875335693E1
9.375267379E0,-1.579437256E1,8.300781250E-1,4.920349121E1
9.425224655E0,-1.745452881E1,9.216308594E-1,4.608612061E1
9.525200240E0,-1.608886719E1,9.689331055E-1,4.831237793E1
9.575188033E0,-1.562347412E1,1.278686523E0,4.786529541E1
9.625175826E0,-1.544494629E1,2.175903320E0,4.846038818E1
9.651298873E0,-1.404266357E1,2.955627441E0,4.518737793E1
9.725151412E0,-1.361236572E1,2.229309082E0,4.667358398E1
9.775169723E0,-1.548461914E1,8.361816406E-1,4.667663574E1
9.875114791E0,-1.551513672E1,-2.044677734E-1,4.622802734E1
9.925102584E0,-1.518554688E1,8.499145508E-1,4.920196533E1
9.975090377E0,-1.533660889E1,6.942749023E-1,4.711761475E1
1.002629887E1,-1.658325195E1,-2.365112305E-1,4.726867676E1
1.012505376E1,-1.534729004E1,3.967285156E-1,4.756469727E1
1.017504155E1,-1.636657715E1,1.696777344E0,4.608459473E1
1.027501714E1,-1.769409180E1,2.992248535E0,4.608917236E1
1.032504540E1,-1.783294678E1,3.436279297E0,4.728088379E1
1.037500268E1,-1.859588623E1,3.413391113E0,4.876861572E1
1.040130883E1,-1.464691162E1,3.237915039E0,4.771728516E1
1.047497826E1,-1.601867676E1,3.347778320E0,5.009918213E1
1.052496606E1,-1.748809814E1,4.783630371E0,4.802398682E1
1.062497216E1,-1.730651855E1,5.677795410E0,4.757995605E1
1.067492944E1,-1.592102051E1,6.317138672E0,4.936218262E1
1.072491723E1,-1.777954102E1,5.068969727E0,4.698486328E1
1.077630883E1,-1.740722656E1,7.156372070E0,4.594879150E1
1.087488061E1,-1.778259277E1,5.072021484E0,4.802551270E1
1.092489892E1,-1.807861328E1,5.360412598E0,4.862060547E1
1.102484399E1,-2.023010254E1,4.547119141E0,4.713897705E1
1.107483178E1,-1.707153320E1,3.610229492E0,4.935913086E1
1.112481957E1,-1.738433838E1,3.302001953E0,4.831848145E1
1.115130883E1,-1.593627930E1,5.720520020E0,4.757690430E1
1.122479516E1,-1.771545410E1,7.150268555E0,4.773406982E1
1.127478295E1,-1.745758057E1,5.824279785E0,4.847106934E1
1.137475854E1,-1.806793213E1,5.654907227E0,4.787902832E1
1.142474633E1,-1.559448242E1,6.918334961E0,4.772644043E1
1.147476464E1,-1.770629883E1,7.449340820E0,4.803009033E1
1.152630883E1,-1.696929932E1,6.727600098E0,4.832305908E1
1.162469750E1,-1.459503174E1,9.773254395E0,4.891815186E1
1.167468530E1,-1.598052979E1,9.284973145E0,4.921875000E1
1.177469140E1,-1.336669922E1,1.026000977E1,5.099639893E1
1.182464868E1,-1.323852539E1,9.519958496E0,5.039825439E1
1.187463647E1,-1.421203613E1,7.560729980E0,4.980468750E1
1.190130883E1,-1.327056885E1,8.480834961E0,5.010070801E1
1.197461205E1,-1.324310303E1,9.219360352E0,4.861450195E1
1.202459985E1,-1.509399414E1,8.422851562E0,4.891510010E1
1.212457543E1,-1.309661865E1,9.379577637E0,5.203247070E1
1.217456323E1,-1.311645508E1,8.633422852E0,5.054473877E1
1.222455102E1,-1.279144287E1,9.388732910E0,5.203247070E1
1.227630883E1,-1.231994629E1,9.698486328E0,5.024871826E1
1.237451440E1,-1.121978760E1,6.173706055E0,5.187377930E1
1.242450219E1,-1.074523926E1,6.781005859E0,5.172576904E1
1.252450829E1,-1.120758057E1,6.466674805E0,5.038909912E1
1.257446557E1,-1.120300293E1,6.463623047E0,4.860534668E1
1.262448388E1,-1.027221680E1,7.086181641E0,4.875183105E1
1.265130883E1,-1.073760986E1,6.774902344E0,4.875335693E1
1.272442895E1,-1.286926270E1,6.709289551E0,4.920654297E1
1.277441674E1,-1.227722168E1,6.134033203E0,4.860687256E1
1.287439233E1,-1.233825684E1,4.200744629E0,4.786224365E1
1.292441064E1,-1.353912354E1,4.608154297E0,4.727172852E1
1.297436791E1,-1.354370117E1,4.611206055E0,4.920501709E1
1.302630883E1,-1.360931396E1,2.531433105E0,4.920043945E1
1.312433129E1,-1.105651855E1,6.321716309E0,4.920196533E1
1.317431908E1,-1.258087158E1,6.123352051E0,4.786529541E1
1.327429467E1,-1.220703125E1,8.212280273E0,4.712524414E1
1.332428246E1,-1.313629150E1,7.586669922E0,4.593811035E1
1.337427026E1,-1.240234375E1,6.718444824E0,4.593505859E1
1.340130883E1,-1.346588135E1,6.683349609E0,4.519348145E1
1.347427636E1,-1.457977295E1,5.166625977E0,4.593658447E1
1.352423364E1,-1.335296631E1,5.502319336E0,4.533996582E1
1.362420922E1,-1.197509766E1,5.841064453E0,4.563293457E1
1.367419702E1,-1.189727783E1,3.619384766E0,4.667205811E1
1.372418481E1,-1.308135986E1,4.469299316E0,4.504089355E1
1.377630883E1,-1.471405029E1,5.754089355E0,4.504699707E1
1.387414819E1,-1.373291016E1,3.112792969E0,4.429779053E1
1.392413598E1,-1.327972412E1,2.976989746E0,4.369964600E1
1.402411157E1,-1.598968506E1,3.633117676E0,4.281921387E1
1.407412988E1,-1.675872803E1,3.463745117E0,4.400787354E1
1.412408715E1,-1.631622314E1,3.031921387E0,4.355926514E1
1.415130883E1,-1.769409180E1,2.690124512E0,4.282073975E1
1.422406274E1,-1.729736328E1,5.369567871E0,4.044647217E1
1.427405053E1,-1.748352051E1,4.475402832E0,4.237670898E1
1.437402612E1,-1.744995117E1,5.516052246E0,4.237823486E1
1.442401391E1,-1.621246338E1,5.996704102E0,4.044342041E1
1.447400170E1,-1.744689941E1,5.514526367E0,4.133911133E1
1.452630883E1,-1.730957031E1,4.922485352E0,3.970184326E1
1.462399560E1,-1.565246582E1,4.528808594E0,4.058837891E1
1.467395287E1,-1.592712402E1,5.413818359E0,4.073944092E1
1.477392846E1,-1.646423340E1,2.871704102E0,3.984527588E1
