"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.926612806E1,6.616210938E-2,-4.397430420E-1,1.770477295E-1
8.931612806E1,3.764801025E-1,-1.483612061E-1,-4.379272461E-3
8.936612806E1,1.034240723E-1,3.733062744E-1,1.800994873E-1
8.941612806E1,3.239440918E-1,-2.923583984E-2,5.487060547E-2
8.946612806E1,-2.667236328E-2,8.552856445E-1,9.274291992E-2
8.951612806E1,-1.769561768E-1,-7.170867920E-1,-1.937866211E-3
8.956612806E1,-2.282714844E-1,2.725219727E-1,2.882232666E-1
8.961612806E1,-3.400573730E-1,-5.069427490E-1,1.984252930E-1
8.966612806E1,-1.012115479E-1,1.405792236E-1,1.752166748E-1
8.971612806E1,-2.685852051E-1,1.680603027E-1,8.236694336E-2
8.976612806E1,2.744750977E-1,-6.608734131E-1,2.705078125E-1
8.981612806E1,-9.509277344E-2,-7.933044434E-2,-1.130981445E-1
8.986612806E1,3.184509277E-1,-2.632141113E-1,-6.668090820E-2
8.991612806E1,-6.578063965E-2,2.737426758E-1,-2.248992920E-1
8.996612806E1,2.188720703E-1,1.540222168E-1,9.152221680E-2
9.001612806E1,-3.449401855E-1,-4.450988770E-2,-5.938568115E-1
9.006612806E1,-2.496490479E-1,2.963409424E-1,-1.112823486E-1
9.011612806E1,-4.939880371E-1,-2.234954834E-1,1.232910156E-1
9.016612806E1,7.716369629E-2,2.474822998E-1,-1.955718994E-1
9.021612806E1,2.340698242E-2,5.406951904E-1,-1.540374756E-1
9.026612806E1,-1.203918457E-2,-4.483032227E-1,1.489562988E-1
9.031612806E1,2.769165039E-1,-4.263153076E-1,-1.109313965E-2
9.036612806E1,-2.912902832E-2,2.908477783E-1,1.764373779E-1
9.041612806E1,1.571807861E-1,3.238372803E-1,1.403961182E-1
9.046612806E1,-6.613769531E-1,-2.131195068E-1,-8.866882324E-2
9.051612806E1,3.972625732E-1,9.719848633E-2,-2.548370361E-1
9.056612806E1,-2.753143311E-1,3.348236084E-1,1.884460449E-2
9.061612806E1,-8.227539062E-2,-9.399414062E-2,3.016662598E-1
9.066612806E1,1.492462158E-1,-9.689331055E-3,3.914642334E-1
9.071612806E1,1.632843018E-1,-3.792724609E-1,2.711181641E-1
9.076612806E1,2.610321045E-1,-3.988189697E-1,2.430267334E-1
9.081612806E1,5.027770996E-2,-1.074371338E-1,-4.408264160E-2
9.086612806E1,1.484680176E-2,-6.344604492E-2,-7.431030273E-3
9.091612806E1,4.470825195E-3,5.944519043E-1,-1.638183594E-1
9.096612806E1,-3.443298340E-1,2.462463379E-1,-3.971710205E-1
9.101612806E1,-1.354217529E-1,-2.435302734E-2,-4.924621582E-1
9.106612806E1,-3.046264648E-1,1.907348633E-3,-5.323791504E-2
9.111612806E1,5.577087402E-2,-3.535461426E-2,-2.303924561E-1
9.116612806E1,2.341461182E-1,6.188812256E-1,3.570556641E-3
9.121612806E1,1.584014893E-1,-2.338867188E-1,9.764099121E-2
9.126612806E1,3.233337402E-1,-5.680236816E-1,1.306304932E-1
9.131612806E1,1.058654785E-1,3.152770996E-1,6.404113770E-2
9.136612806E1,1.327514648E-1,-2.412109375E-1,1.177825928E-1
